Date,Global Govt Response (Sum)
13Aug2020,10112.770000000004
14Aug2020,10118.050000000005
15Aug2020,10087.520000000004
16Aug2020,10089.180000000004
17Aug2020,10099.420000000006
18Aug2020,10108.290000000003
19Aug2020,10101.330000000002
20Aug2020,10107.44
21Aug2020,10128.85
22Aug2020,10128.85
23Aug2020,10130.520000000002
24Aug2020,10121.640000000001
25Aug2020,10131.900000000003
26Aug2020,10119.130000000003
27Aug2020,10097.460000000003
28Aug2020,10061.630000000003
29Aug2020,10066.360000000002
30Aug2020,10069.970000000003
31Aug2020,10048.590000000002
01Sep2020,9940.270000000004
02Sep2020,9914.420000000004
03Sep2020,9918.040000000005
04Sep2020,9930.540000000003
05Sep2020,9923.600000000004
06Sep2020,9919.990000000003
07Sep2020,9871.110000000002
08Sep2020,9873.880000000003
09Sep2020,9883.03
10Sep2020,9872.230000000001
11Sep2020,9859.190000000006
12Sep2020,9861.410000000005
13Sep2020,9858.070000000005
14Sep2020,9840.290000000006
15Sep2020,9839.190000000002
16Sep2020,9833.360000000004
17Sep2020,9842.510000000006
18Sep2020,9836.950000000006
19Sep2020,9823.910000000005
20Sep2020,9795.020000000006
21Sep2020,9785.050000000005
22Sep2020,9768.670000000006
23Sep2020,9757.560000000005
24Sep2020,9748.110000000004
25Sep2020,9737.830000000004
26Sep2020,9728.650000000003
27Sep2020,9726.430000000004
28Sep2020,9704.770000000004
29Sep2020,9708.640000000003
30Sep2020,9694.200000000003
01Oct2020,9655.550000000003
02Oct2020,9646.360000000002
03Oct2020,9653.040000000003
04Oct2020,9643.040000000003
05Oct2020,9627.18
06Oct2020,9603.570000000002
07Oct2020,9593.59
08Oct2020,9568.57
09Oct2020,9538.829999999996
10Oct2020,9525.759999999997
11Oct2020,9516.609999999997
12Oct2020,9482.169999999996
13Oct2020,9495.249999999996
14Oct2020,9491.929999999997
15Oct2020,9470.559999999998
16Oct2020,9451.669999999996
17Oct2020,9447.239999999996
18Oct2020,9441.119999999997
19Oct2020,9435.529999999993
20Oct2020,9438.349999999995
21Oct2020,9458.069999999994
22Oct2020,9485.019999999997
23Oct2020,9506.659999999996
24Oct2020,9508.889999999998
25Oct2020,9505.559999999998
26Oct2020,9538.34
27Oct2020,9502.53
28Oct2020,9475.029999999999
29Oct2020,9454.470000000001
30Oct2020,9447.28
31Oct2020,9441.730000000001
01Nov2020,9417.83
02Nov2020,9453.949999999999
03Nov2020,9480.080000000002
04Nov2020,9501.180000000002
05Nov2020,9518.95
06Nov2020,9511.720000000001
07Nov2020,9527.82
08Nov2020,9532.250000000002
09Nov2020,9541.140000000005
10Nov2020,9548.640000000005
11Nov2020,9545.310000000005
12Nov2020,9598.630000000005
13Nov2020,9604.190000000004
14Nov2020,9614.460000000003
15Nov2020,9636.400000000003
16Nov2020,9656.140000000003
17Nov2020,9675.020000000002
18Nov2020,9674.190000000002
19Nov2020,9677.520000000002
20Nov2020,9703.080000000002
21Nov2020,9713.660000000003
22Nov2020,9709.750000000002
23Nov2020,9695.260000000004
24Nov2020,9678.600000000002
25Nov2020,9701.050000000003
26Nov2020,9703.830000000002
27Nov2020,9711.050000000003
28Nov2020,9729.940000000002
29Nov2020,9730.770000000002
30Nov2020,9747.980000000003
01Dec2020,9716.330000000004
02Dec2020,9740.780000000002
03Dec2020,9738.550000000003
04Dec2020,9746.87
05Dec2020,9743.550000000001
06Dec2020,9744.660000000002
07Dec2020,9749.630000000001
08Dec2020,9750.28
09Dec2020,9754.730000000001
10Dec2020,9751.970000000003
11Dec2020,9760.570000000003
12Dec2020,9771.950000000004
13Dec2020,9771.950000000004
14Dec2020,9786.280000000004
15Dec2020,9774.180000000006
16Dec2020,9803.640000000005
17Dec2020,9804.320000000005
18Dec2020,9824.010000000002
19Dec2020,9827.180000000002
20Dec2020,9850.220000000001
21Dec2020,9912.37
22Dec2020,9910.730000000001
23Dec2020,9920.780000000002
24Dec2020,9935.690000000002
25Dec2020,9946.240000000003
26Dec2020,9981.300000000001
27Dec2020,10024.84
28Dec2020,10021.179999999998
29Dec2020,10008.009999999998
30Dec2020,10023.779999999999
31Dec2020,10059.559999999996
01Jan2021,10026.979999999998
02Jan2021,10035.589999999997
03Jan2021,10047.539999999997
04Jan2021,10057.439999999995
05Jan2021,10072.119999999999
06Jan2021,10106.789999999999
07Jan2021,10143.56
08Jan2021,10154.669999999998
09Jan2021,10169.13
10Jan2021,10171.47
11Jan2021,10140.239999999998
12Jan2021,10142.19
13Jan2021,10148.04
14Jan2021,10173.560000000001
15Jan2021,10171.79
